,src,dst,weight
72522,Euro-Disco,Theme,0.002524190155658393
72523,Theme,Euro-Disco,0.0005541701302299807
72524,Ambient,Coldwave,0.0004008475061558724
72525,Coldwave,Ambient,0.0185799601857996
72526,Coldwave,Drone,0.0072992700729927005
72527,Drone,Coldwave,0.0005884240932919653
72528,Alternative_Rock,Reggaeton,4.4751405940003284e-05
72529,Reggaeton,Alternative_Rock,0.002112676056338028
72530,Indie_Rock,Reggaeton,3.0011104108520153e-05
72531,Reggaeton,Indie_Rock,0.0014084507042253522
72532,Reggaeton,Soul,0.002112676056338028
72533,Soul,Reggaeton,4.8736901957598896e-05
72534,Beguine,Guarania,0.0013422818791946308
72535,Guarania,Beguine,0.00641025641025641
72536,Beguine,Ranchera,0.005369127516778523
72537,Ranchera,Beguine,0.001117006422786931
72538,Sound_Collage,Vaporwave,0.08121128699242945
72539,Vaporwave,Sound_Collage,0.01684751570531125
72540,Easy_Listening,Sound_Collage,0.00012225312509551024
72541,Sound_Collage,Easy_Listening,0.0027529249827942187
72542,Crunk,Deathcore,0.0015822784810126582
72543,Deathcore,Crunk,0.0006086427267194157
72544,Crunk,Emo,0.004746835443037975
72545,Emo,Crunk,0.0003471017007983339
72546,Crunk,Melodic_Hardcore,0.0015822784810126582
72547,Melodic_Hardcore,Crunk,0.0006257822277847309
72548,Crunk,Metalcore,0.0015822784810126582
72549,Metalcore,Crunk,0.0001892863903085368
72550,Crunk,Parody,0.004746835443037975
72551,Parody,Crunk,0.0005934718100890207
72552,Crunk,Pop_Punk,0.0015822784810126582
72553,Pop_Punk,Crunk,0.00016504373659019642
72554,Crunk,Post-Hardcore,0.0015822784810126582
72555,Post-Hardcore,Crunk,0.00022722108611679165
72556,Crunk,Progressive_Metal,0.0015822784810126582
72557,Progressive_Metal,Crunk,0.00018031013342949875
72558,Deathcore,Emo,0.0030432136335970784
72559,Emo,Deathcore,0.0005785028346638898
72560,Deathcore,Pop_Punk,0.0012172854534388314
72561,Pop_Punk,Deathcore,0.00033008747318039283
72562,Emo,Progressive_Metal,0.0003471017007983339
72563,Progressive_Metal,Emo,0.0005409304002884963
72564,Melodic_Hardcore,Parody,0.0018773466833541927
72565,Parody,Melodic_Hardcore,0.0005934718100890207
72566,Parody,Post-Hardcore,0.0003956478733926805
72567,Post-Hardcore,Parody,0.0004544421722335833
72568,Parody,Progressive_Metal,0.0003956478733926805
72569,Progressive_Metal,Parody,0.0003606202668589975
